platform,creator_handle,tiktok_handle,tier,video_id,content_format,sound_type,published_date,follower_count,view_count,like_count,comment_count,share_count,duration_sec,watch_through_rate,watch_time_total_sec,engagement_rate,view_follower_ratio,total_engagements,modeled_spend_usd,cost_per_engagement,campaign,brand
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_000,Skincare Routine,Original,2025-01-22,6800000,1525539,406623,47838,23919,30,0.912,41738747,0.07035,0.2243,478380,16639.05,0.0348,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_001,Tutorial,Original,2025-03-03,6800000,2401249,325356,38277,19138,45,0.53,57269788,0.05629,0.3531,382771,11577.79,0.0302,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_002,Product Review,Original,2025-02-22,6800000,1914291,327437,38522,19261,60,0.503,57773302,0.05665,0.2815,385220,13765.46,0.0357,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_003,Skincare Routine,Trending,2025-02-19,6800000,3478626,557481,65586,32793,90,0.359,112394406,0.09645,0.5116,655860,17087.78,0.0261,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_004,Skincare Routine,Trending,2025-03-13,6800000,7231349,506039,59534,29767,30,0.804,174420137,0.08755,1.0634,595340,18936.09,0.0318,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_005,Product Review,Original,2025-02-10,6800000,2644534,480086,56480,28240,60,0.558,88538998,0.08306,0.3889,564806,18645.03,0.033,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_006,GRWM,Trending,2025-02-04,6800000,2338911,328593,38658,19329,45,0.605,63676851,0.05685,0.344,386580,10460.04,0.0271,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_007,GRWM,Original,2025-02-17,6800000,1701335,325818,38331,19165,120,0.303,61860540,0.05637,0.2502,383314,14013.67,0.0366,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_008,Tutorial,Trending,2025-02-16,6800000,3480244,557481,65586,32793,45,0.405,63427446,0.09645,0.5118,655860,23869.5,0.0364,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_009,Tutorial,Original,2025-02-11,6800000,4328729,394022,46355,23177,60,0.371,96357507,0.06817,0.6366,463554,16255.64,0.0351,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_010,Skincare Routine,Trending,2025-01-15,6800000,2323729,477428,56168,28084,60,0.489,68178208,0.0826,0.3417,561680,18555.3,0.033,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_011,Skincare Routine,Original,2025-01-28,6800000,2186355,337436,39698,19849,30,0.826,54177876,0.05838,0.3215,396983,12928.55,0.0326,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_012,Product Review,Original,2025-01-01,6800000,2073977,384254,45206,22603,30,0.803,49962105,0.06648,0.305,452063,13486.49,0.0298,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_013,Product Review,Trending,2025-02-06,6800000,2679281,339979,39997,19998,15,0.483,19411390,0.05882,0.394,399974,13058.76,0.0326,GlowMetric_Q1_2025,GlowMetric
TikTok,HyramYT,@hyram,Macro,tt_hyramyt_014,Skincare Routine,Licensed,2025-03-03,6800000,1823351,330211,38848,19424,45,0.402,32984419,0.05713,0.2681,388483,14556.57,0.0375,GlowMetric_Q1_2025,GlowMetric
TikTok,DrDrayzday,@drdrayzday,Macro,tt_drdrayzday_000,Haul,Original,2025-02-23,950000,330041,27737,3263,1631,45,0.555,8242773,0.03435,0.3474,32631,1463.72,0.0449,GlowMetric_Q1_2025,GlowMetric
