platform,creator_handle,channel_name,channel_id,tier,video_id,title,published_at,published_date,content_format,subscriber_count,view_count,like_count,comment_count,share_count,duration_sec,engagement_rate,view_reach_ratio,watch_through_rate,watch_time_index,modeled_spend_usd,cost_per_engagement,tags,campaign,brand
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,2XodIjkjIkQ,is this the BEST nose contour hack?? 😱👀,2026-03-19T18:10:34Z,2026-03-19,Vlog/Other,15000000,2171467,119196,774,,90,0.008,0.1448,,0.12,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,eFkEZF_ySFo,PURPLE Blush for Foundation?! 🫣🔮,2026-03-12T18:14:51Z,2026-03-12,Vlog/Other,15000000,2525810,164773,1131,,96,0.01106,0.1684,,0.177,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,qFIItd-8eRI,this highlighter looks like a RASH! 😱😳,2026-03-04T18:15:53Z,2026-03-04,Vlog/Other,15000000,2082423,118485,960,,95,0.00796,0.1388,,0.126,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,xjzONuy3x4I,the UGLIEST drugstore lipstick ever? 😖,2026-02-08T18:16:27Z,2026-02-08,Vlog/Other,15000000,1413493,90411,3030,,104,0.00623,0.0942,,0.108,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,x0yA86qK-lA,SpongeBob SquarePants CREAM BLUSH?! 🧽🫧,2026-02-02T18:33:58Z,2026-02-02,Vlog/Other,15000000,2439233,140065,864,,92,0.0094,0.1626,,0.1441,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,tGZX5PBaDRg,trying RAINBOW undereyes… again! 🌈🤔✨,2026-01-29T18:15:59Z,2026-01-29,Vlog/Other,15000000,2113766,170506,1428,,110,0.01146,0.1409,,0.2101,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,cwWE2na-UOY,temporary GLITTER eye tattoos?! 🫢👀✨,2025-12-21T18:33:13Z,2025-12-21,Vlog/Other,15000000,2569113,153022,1273,,129,0.01029,0.1713,,0.2212,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,EdfUv0CAG9Y,a matte lipstick that becomes GLITTERY?! 🫢,2025-12-02T18:17:41Z,2025-12-02,Vlog/Other,15000000,5271617,243621,1211,,108,0.01632,0.3514,,0.2938,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,BQKEh3E_Jqo,trying a Marilyn Monroe Halloween Look 🩸,2025-10-28T18:12:50Z,2025-10-28,Vlog/Other,15000000,1785750,107430,919,,78,0.00722,0.1191,,0.0939,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,h5XScKlQymU,a SKINCARE APP for your routine?? 📲🔎,2025-10-16T17:49:23Z,2025-10-16,Routine,15000000,643695,25825,251,,97,0.00174,0.0429,,0.0281,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,X82AxSqjv4E,$250 Louis Vuitton EYESHADOW?! 💀,2025-09-11T17:20:48Z,2025-09-11,Vlog/Other,15000000,3084399,154429,2140,,120,0.01044,0.2056,,0.2088,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,yvN81rlFE7A,Louis Vuitton.. are you serious? 😳 $250 Eyeshadow + $160 Lipstick - THE TRUTH! | NikkieTutorials,2025-09-08T17:00:43Z,2025-09-08,Tutorial,15000000,611158,31430,2427,,1270,0.00226,0.0407,,0.4784,,,first impression|first impressions|review|nikkietutorials|nikkie tutorials|nikkitutorials|nikki tutorials|honest|brutally honest|beauty,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,0M0Yn5DzJgA,trying this CRAZY FULL COVERAGE foundation! 🫢,2025-08-31T17:22:31Z,2025-08-31,Vlog/Other,15000000,7765172,204628,1043,,74,0.01371,0.5177,,0.1691,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,61RIyqJJRSE,finding my “natural unnatural skin color” 🫢🩵,2025-08-18T17:31:40Z,2025-08-18,Vlog/Other,15000000,8038835,550433,3666,,100,0.03694,0.5359,,0.6157,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,NikkieTutorials,NikkieTutorials,UCzTKskwIc_-a0cGvCXA848Q,Mega,lUOPymswhCg,this filter decides my MAKEUP + number of PUMPS! 😱😮‍💨,2025-08-10T17:17:14Z,2025-08-10,Vlog/Other,15000000,24535413,805572,8257,,169,0.05426,1.6357,,1.5283,,,,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,k1lmzPXHtwI,THE BEAUTY BLENDER MYTH - WATCH AND LEARN!,2026-03-24T18:00:44Z,2026-03-24,Vlog/Other,3960000,3910,1205,87,,109,0.00033,0.001,,0.006,,,Wayne Goss|beauty blender|beauty blender use|best beauty blender|beauty blender dupe|beauty blender hack|clean beauty blender|beauty blender cleaner|dry or wet beauty blender|beauty blender tutorial,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,WM4GBOdCSfU,IF YOU&#39;RE FOUNDATION LOOKS LIKE THIS - DO THIS!,2026-03-20T18:00:37Z,2026-03-20,Vlog/Other,3960000,25687,2757,114,,96,0.00072,0.0065,,0.0115,,,Wayne Goss|heavy foundation|cakey foundation|flaky foundation|stop cakey foundation|how to avoid cakey foundation|how to fix cakey foundation|why my foundation look cakey|how to stop cakey foundation|how to make foundation not look cakey,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,_IROcKCTEaY,The Most Pigmented Blusher EVER? Patrick Ta “She’s Left Me On Red” Review!,2025-04-04T17:00:41Z,2025-04-04,Review,3960000,13366,1096,190,,163,0.00032,0.0034,,0.0087,,,YouTube|Beauty|Makeup|Tutorial|wayne goss|Wayne Goss|Patrick Ta|Patrick Ta blush|She's Left Me On Red|Patrick Ta review,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,MeHe0b3jWSM,18 3  Regular touch ups are important,2023-12-06T03:00:16Z,2023-12-06,Short,3960000,18251,1192,23,,50,0.00031,0.0046,,0.0026,,,YouTube|Beauty|Makeup|Tutorial|wayne goss,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,BVOEoC3C87Y,THE MASTERCLASS FOUNDATION / CONCEALER,2022-02-03T18:00:09Z,2022-02-03,Vlog/Other,3960000,48086,2617,116,,495,0.00069,0.0121,,0.0569,,,YouTube|Beauty|Makeup|Tutorial|The Masterclass|the masterclass foundation concealer|foundation|concealer|Wayne Goss,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,ue9dDO2hxBc,URBAN DECAY NAKED SMOKY PALETTE REVIEW / DEMO,2015-07-31T22:00:02Z,2015-07-31,Review,3960000,141169,4728,333,,197,0.00128,0.0356,,0.042,,,wayne goss|makeup|make up|beauty|flawless skin|urban decay|naked palette|new naked palette|naked pallet|naked smoky,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,dMNpYU4tPkU,THE &#39;NON&#39; INSTAGRAM EYEBROW TUTORIAL,2015-02-21T19:00:30Z,2015-02-21,Tutorial,3960000,526074,16010,1289,,143,0.00437,0.1328,,0.1042,,,gossmakeupartist|eyebrow|eyebrow tutorial|eyebrow dance|eyebrow shaping|eyebrow makeup tutorial|eyebrow shaping tutorial|eyebrow tutorial for beginners|eyebrow waxing|how to eyebrow,GlowMetric_Q1_2025,GlowMetric
YouTube,WayneGoss,Wayne Goss,UCCvoAe__WFYMNAEN-C-CtYA,Macro,bpW9P-vFiTI,TOM FORD LIPSTICK REVIEW,2011-09-06T21:27:28Z,2011-09-06,Review,3960000,77729,1645,278,,164,0.00049,0.0196,,0.0134,,,makeup|makeup advice|makeup tutorial|beauty|gossmakeupartist|makeup artist|easy makeup|beauty ideas|Wayne Goss|tom ford lipstick review,GlowMetric_Q1_2025,GlowMetric
